Woord (Word),IPA,Part of Speech,Signifas (Meaning),1594,<-- numer o woordan jom woordkitabu mir
a,ˈɑ,verb,1. to go to,,I figured I'd add some rules here so I don't forget in the future:
a a a,ɑʔɑʔɑ,interjection,1. expressing laughter,,"e or i + a or o = ja or jo (and by that rule, i + u = ju) unless they are part of two separate syllables"
aard,ˈɑːɾd,noun,1. ground,,o + i = oj unless they are part of two separate syllables
,,,"2. earth, dirt",,a + o = o unless they are part of two separate syllables
aardimetilo,ˌɑːɾdɪˈmɛtɪlo,noun,1. alkali earth metal,,"sj is pronounced \sh\, c is pronounced \ch\, x is pronounced [x]"
aardradis,ˈɑːɾdˌrɑːdɪs,noun,1. potato,,"the copula's plurality agrees with the subject of the sentence, unless leu is used, in which case it agrees with the object of the sentence"
ada,ˈɑːˌdɑ,noun,1. reddish orange,,
,,adjective,1. hot,,
adicen,ˈʌdiˌt͡ʃɛn,adverb,1. backward,,
adizo,ˈʌdiˌzoː,adverb,1. forward,,
ag,ˈʌg,noun,1. wall,,
ajom,ˈɑˌjom,verb,1. to join,,
ajnstilo,ˈai̯nˌstiːlo,noun,1. einsteinium,,
aki,ˈʌˌki,verb,1. receive,,
aktin,ˈʌkˌtin,noun,1. actinium,,
aktinilo,ˈʌktiˌniːlo,noun,1. actinide,,
aktinoli,ˈʌktiˌnoːli,noun,1. protactinium,,
akto,ˈʌkˌto,verb,"1. to do, act",,
,,noun,1. verb,,
akton,ˈʌkton,noun,1. action,,
ala,ˈɑːˌlə,adjective,1. cold,,
alana,əˈlɑːˌnə,noun,1. forest,,
alcau,ˈʌlˌt͡ʃau,interjection,1. hello,,
ale,əˈleː,determiner,1. all,,
aleb,əˈlɛb,adjective,1. alive,,
alo,əˈloː,interjection,1. hello,,
alosol,ˈɑːloˌsol,noun,1. sunrise,,
AM,ˈɑːʔɛm,adverb,"1. AM, from 10 AM (6 AM) to 5 AM (11 AM)",,
ama,ˈʌˌmə,noun,1. love,,
,,verb,1. to love,,
amer,əˈmer,noun,1. spouse,,
Amerika,əˈmeriˌkɑː,noun,1. the USA,,":flag_us: : tis jen leb jom Amerika, tis jen li Amerike, tis jen hanase li Englisora (Amerikara), tis Amerikajen"
Amerike,əˈmeriˌke,adjective,1. American,,
Amerikara,əˌmeriˈkɑːrə,noun,"1. the American variety of English, American English",,
Amerikajen,əˈmeriˌkɑːjɛn,noun,1. an American person,,
ameritilo,əˈmeriˌtilo,noun,1. americium,,
ami,ˈʌˌmi,noun,1. friend,,
Amotera,ˈɑmoˌtera,noun,1. Venus,,
amper,ˈɑːmˌper,noun,1. ampere,,
an,ˈɑːn,verb,1. to add to (as of numbers),,
andisten,ˈʌndiˌstɛn,noun,1. andesite,,
andra,ˈɑːnˌdra,determiner,1. other,,
andrilo,ˌɑːnˈdriːlo,noun,1. xenon,,
anti,ˈɑːnˌti,verb,1. to subtract from,,
anti-,ˈɑːntiˌ-,affix,1. negative prefix,,
antibel,ˈɑːntiˌbɛl,adjective,1. negative (as of numbers),,
,,,"2. ugly, not beautiful",,
anti-du,ˈɑːntiˌdu,noun,1. negative two,,
anti-jodi,ˈɑːntiˌjoːdi,adjective,"1. bad, not good",,
antimetilo,ˈɑːntiˌmɛtɪlo,noun,1. nonmetal,,
antimota,ˈɑːntiˌmota,adjective,1. undead (as of a zombie),,
antinur,ˈɑːntiˌnuːr,adjective,1. dark,,
,,noun,1. darkness (as opposed to light),,
antinuron,ˌɑːntiˈnuːron,noun,1. darkness,,
antipursu,ˌɑːntiˈpʊrsu,adjective,"1. rough, jagged, unrefined",,
anti-ser,ˈɑːntiˌsɛr,adjective,1. indivisible,,
,,,2. prime (as of numbers),,
antisikulusindic,ˌɑːntiˌsɪkʊluˈsɪndɪt͡ʃ,adjective,1. offline,,
antisinde,ˈɑːntiˌsɪndɛ,verb,1. to disconnect,,
antisinonimo,ˌɑːntiˌsinoˈnimo,noun,1. antonym,,
antister,ˈɑːntiˌster,noun,1. bedrock,,
anti-tri,ˈɑːntiˌtriː,noun,1. negative three,,
antizonic,ˌɑːntiˈzoːnɪt͡ʃ,adjective,"1. shapeless, formless",,
anuvu,ˌʌnʊˈvu,noun,1. substance,,
aplo,ˈɑːploː,noun,1. apple,,
appor,ˈʌˌpor,verb,1. to bring,,
apporizo,ˌʌpoˈrizo,noun,1. suggestion,,
,,verb,1. to suggest,,
argo,ˈɑːrˌgo,noun,1. silver,,
arhikollo,ˈɑːrhiˌkolːo,noun,"1. menu, as of user interfaces",,
arko,ˈɑːrˌko,noun,1. bear,,
asa,ˈʌˌsə,noun,1. greenish blue,,
asi,ˈʌˌsi,adverb,"1. too, likewise",,
,,,"2. also, as well, in addition",,
atato,ˌʌˈtɑto,noun,1. astatine,,
aten,ˈʌˌtɛn,verb,1. to wait,,
,,,2. to stop,,
,,interjection,1. wait,,
aukis,ˈauˌkɪs,noun,1. eye,,
auro,ˈauˌor,noun,1. gold,,
avlok,ˈɑːvˌlɔk,noun,1. key,,
avo,ˈɑˌvo,verb,1. to open,,
,,adjective,1. open,,
avto,ˈɑːvˌto,noun,1. car,,
avtosikulu,ˈɑːvtəˌsɪkʊlu,noun,1. wheel,,
avtovek,ˈɑːvtəˌvɛk,noun,1. road,,
awag,ˌəˈwɑːg,noun,1. vehicle,,
ba,ˈbɑː,noun,1. base (as of numbers),,
-baar,-ˈbɑːr,affix,1. capable of,,
baar,ˈbɑːr,adjective,1. capable of doing something,,
bamjien,ˈbɑːmˌji.ɛn,noun,1. drumstick,,
baro,ˈbɑˌro,noun,1. pressure,,
,,adjective,1. heavy,,
basede,ˈbɑːsəˌde,noun,1. very good,,
bau,ˈbau,noun,1. dog,,
beginnen,bɛˈginən,verb,"1. to begin, start",,
beginnenon,bɛˈginəˌnɔn,noun,"1. beginning, start",,
bel,ˈbɛl,adjective,1. good,,
,,,2. beautiful,,
,,,3. positive (as of numbers),,
berkeltilo,ˈberkɛlˌtiːlo,noun,1. berkelium,,
bez,ˈbɛz,verb,1. to contain,,
bezvok,ˈbɛzˌvɔk,noun,1. consonant,,
bi,ˈbi,preposition,1. than,,
,,noun,1. two,,
Biblio,ˈbɪbˌli.o,noun,1. the Bible,,
bidece,ˈbideˌt͡ʃe,noun,1. twenty,,
blag,ˈblɑg,noun,1. joke,,
blek,ˈblɛk,adjective,1. (slang) sick,,
,,verb,1. (slang) to vomit,,
blitz,ˈblɪt͡s,noun,1. thunderbolt,,
blu,ˈbluː,noun,1. grue (a color definition that spans from green to blue),,
blujilo,ˈbluːˌjilo,noun,1. iodine,,
blujo,ˈbluːˌjo,noun,1. purple,,
bolo,ˈboːˌlo,noun,"1. cup, bowl, or other container",,
,,,2. jug (seximal unit of volume),,
bolu,ˈboːˌlu,noun,1. cake,,
bon,ˈboːn,noun,1. bone,,
bonam,ˈboːˌnɑm,noun,1. drum,,
bonamjen,ˈboːnɑmˌjɛn,noun,1. drummer,,
boofnag,ˈboːfˌnɑg,noun,1. beer,,
boom,ˈboːm,noun,1. tree,,
borilo,ˈboˌrilo,noun,1. bohrium,,
bovja,ˈboːvˌjɑ,noun,1. bull (male cow),,
brajatilo,ˈbrɑːjəˌtiːlo,noun,1. magnesium,,
Brasil,ˌbrʌˈsiːl,noun,1. Brazil,,
Brasilano,ˌbrʌsiˈlaːno,noun,1. a Brazilian person,,
Brasile,brʌˈsiːˌle,adjective,1. Brazilian,,
Brasilera,ˌbrʌsiˈleːrə,noun,"1. the Brazilian variety of Portuguese, Brazilian Portuguese",,
Brasiljen,ˈbrɑːsɪlˌjɛn,noun,1. a Brazilian person,,
brune,ˈbruːˌne,noun,1. brown,,
bunda,ˈbuːnˌdɑ,noun,1. milk,,
buza,ˈbuːˌzɑ,noun,1. bee,,
cai,ˈt͡ʃaiː,noun,1. tea,,
can,ˈt͡ʃɑn,noun,1. hundred,,
carnatilo,ˈt͡ʃɑːrɳɑˌtiːlo,noun,1. calcium,,
cas,ˈt͡ʃʌs,noun,1. time,,
casina,ˌt͡ʃʌˈsiːnə,noun,1. clock,,
casnu,ˈt͡ʃʌsˌnu,adverb,1. now,,
cau,ˈt͡ʃau,interjection,1. goodbye,,
causol,ˈt͡ʃauˌsol,noun,1. sunset,,
cen,ˈt͡ʃɛn,noun,1. hundred,,
Chaist,ˈkaist,noun,1. Christ,,
Chaistnat,ˈkaistˌnɑt,noun,1. Christmas,,
chatkanal,ˈt͡ʃɑːtkəˌnɑl,noun,1. channel for conversation or chatting,,
chiga,ˈt͡ʃiːgə,verb,1. to work,,
,,noun,1. job,,
chir,ˈt͡ʃir,noun,1. smile,,
,,verb,1. to smile,,
,,adjective,1. happy,,
,,adverb,"1. good, well",,
cikidet,ˈt͡ʃikiˌdet,noun,1. Sunday,,
cirkon,ˈt͡ʃiːrˌkon,noun,1. zirconium,,
citeko,ˈt͡ʃiˌteko,noun,1. week,,
crani,ˈkrɑːˌni,noun,1. skull,,
cre,ˈkreː,noun,1. to create,,
,,,1. to turn into a specific state (as wood makes fire),,
crelo,ˈkreːˌlo,noun,1. cerium,,
crenimaakwa,ˈkreːniˌmɑːkwa,noun,1. school,,
cyko,ˈt͡ʃiːˌko,noun,1. cycle,,
dag,ˈdɑːg,noun,1. day,,
darmstatilo,ˈdʌrmˌstʌtilo,noun,1. darmstadtium,,
dasji,ˈdɑːʃi,noun,1. south,,
datanja,ˌdɑˈtɑːnjə,noun,1. southeast,,
-de,-ˌde,affix,1. used to create ordinal numbers out of a normal number in dekiba bi,,
dece,ˈdeˌt͡ʃe,noun,1. ten,,
dekiba,ˈdɛkiˌbɑ,noun,1. main decimal system in Hantera,,
demuiv,dɛˌmyːv,verb,"1. delete, remove",,
denne,ˈdɛnːə,adverb,1. then,,
desu,ˈdeːs,verb,1. to be,,
det,ˈdɛt,noun,1. day,,
detlej,ˈdɛtˌleːj,noun,1. eve (as of Christmas or New Year's Day),,
detsel,ˈdɛtˌsɛl,noun,1. the morning sky,,
dexi,ˈdɛkˌsi,adverb,1. right,,
di,ˈdiː,verb,1. to do,,
-di,-ˌdiː,affix,1. used at the end of verbs to denote volition,,
,,,2. used to create verbs from other parts of speech,,
dibuj,ˈdiˌbʊj,verb,"1. to draw, paint",,
