Entry Word:,Pronunciation,POS,Meaning,Verb Class,,Volition status,,,,first number is used in counting up from 1 (hai is also used in time); second number is the generally used modifier (number + noun) ,,,,tanmqe/ camgyu ,,,,,,,,teptyu (coinage system),,,,,
 'iis'en,ʔɪsʔɛn,v,ripple; reflect light (from water),1,v. class?,Active v. ending (ACT),Stative (STAT/STV),,0,xa,11,vihai,21,tanmvi,30,lebmhai,101,camvi,10;000,kesh,,whole (mink),,half (ram),,quarter (pip),
aekak,ekɑk,v,land on; slam/smack into; crash; hit hard enough to injure yourself,4, (IRRS.ATEL) or (CL1)   1,-∅ (implies body movement) (CON),-'en ,,1,vi,12,tanmun,22,tanmta,31,lebmvi,102,camtan,12001,tankeshvi,copper,(tio) tirep ,tt copper mink; coin; dime,(syn) tirzi,st; nickle (copper ram),(ro) tirgyu,rt; 2.5 cents (lowest coin) (copper pip)
aekkae,ekke,v,smack; hit hard enough to injure someone,4,unchanging-atelic,-yo (implies mental intent) (ABS),-'en,,2,tan,13,lebhai,23,tanmle,32,lebmta,110,cammun,96552,daeckesh mudmqecam qenmta,bronze,(tio) shep,ts bronze mink; 1 dollar,(syn) shezi,ss; half dollar (bronze ram),(ro) shegyu,rs; quarter (bronze pip)
aesiise,esɪsɛ,v,lower; dip; dunk,2,(IRRS.TEL) or (CL2)      2,-se (body movement),-cet ,,3,leb,14,chashai,24,tanmcha,33,lebmle,111,camvihai,100;000,munkesh / mkesh,silver,(tio) ulep ,tu; silver mink; 10 dollars,(syn) ulezi,su; 5 dollars (silver ram),(ro) ulgyu,ru; 2.5 dollars (silver pip)
aesiivh,esɪβ,v,sink; drown; go below; slip under; under(ground/water),3,unchanging-telic,-ts(o/u) (mental intent),-cet,,4,chas,15,qenmun,25,tanmqe/ camgyu ,44,chasmcha,120,camtanmhai / tanmunhai,493148,chasmkesh daecmlekesh camchasmki,gold,(tio) qoap,tq gold mink; 100 dollars,(syn) qozi,sq; 50 dollars (gold ram),(ro) qogyu,rq; 25 dollars (gold pip)
akirse,,v,prepare a boat,1,(RES.ATEL) or (CL3)     3,-vha (body movement),-vh(i) ,,5,qen,16,mudhai,26,tanmmu,55,qenmqa,200,tancam,1000000,keshka / shka,mythril,(tio) dkap,td mythril mink; 1000 dollars (biggest coin),(syn) dkazi,sd; 500 dollars (mythril ram),(ro) dkagyu,rd; 250 dollars (mythril pip)
anes,,v,spend time doing something,1,changing-atelic,-man (mental intent),-non ,,6,mud,17,teukhai,27,tanmteu,66,mudmmu,300,lebcam,5669328,qenshka mudmmumkesh daecmlecam tanmvi,,,,,,,
ang,,v,make; cause; build (similar to tykkae or -l- or vhenkae but used more often when compounding with other parts of speech or with CL1a.act verbs),1,(RES.TEL) or (CL4)       4,-kae (body movement),-ak ,,7,teuk,18,kvihai,28,tanmki,77,teukmte,365,lebcam mudmqe,,,,,,Ajenvel (months of the year),,,
asic'en,ɑsiçʔɛn,v,to feel stress; pressure; unease,,changing-telic,-da (mental),-ge,,8,kvi,19,daecmun,29,tanmdae,88,kvimki,1;000,haicam / mcam,there's more than one way to write out numbers usually; especially with large numbers,,,,,January ,saejvel,sand,
aurilvh,aʊɾilβ,v,be delighted; become happy/joyful,3,,,,,9,daec,20,tanmhai,,,99,daecmdi,1001,muncamvi,the base number after -m- drops the final consonant (not any of the tens numbers),,,,,February,leqvel,harvest,
