Word	Pronunciation	POS	Meaning	Verb Class		Volition status				first number is used in counting up from 1 (hai is also used in time); second number is the generally used modifier (number + noun) 				tanmqe/ camgyu 								teptyu (coinage system)					
 'eujak	ʔœʒɑk	v	rot away	4	v. class?	Active v. ending (ACT)	Stative (STAT/STV)		0	xa	11	vihai	21	tanmvi	30	lebmhai	101	camvi	10;000	kesh		whole (mink)		half (ram)		quarter (pip)	
 'eujvhi	ʔœʒβi	v	rot	3	 (IRRS.ATEL) or (CL1)   1	-∅ (implies body movement) (CON)	-'en 		1	vi	12	tanmun	22	tanmta	31	lebmvi	102	camtan	12001	tankeshvi	copper	(tio) tirep 	tt copper mink; coin; dime	(syn) tirzi	st; nickle (copper ram)	(ro) tirgyu	rt; 2.5 cents (lowest coin) (copper pip)
 'iis'en	ʔɪsʔɛn	v	ripple; reflect light (often from water); spreading effect	1	unchanging-atelic	-yo (implies mental intent) (ABS)	-'en		2	tan	13	lebhai	23	tanmle	32	lebmta	110	cammun	96552	daeckesh mudmqecam qenmta	bronze	(tio) shep	ts bronze mink; 1 dollar	(syn) shezi	ss; half dollar (bronze ram)	(ro) shegyu	rs; quarter (bronze pip)
aekak	ekɑk	v	land on; slam/smack into; crash; hit hard enough to injure yourself	4	(IRRS.TEL) or (CL2)      2	-se (body movement)	-cet 		3	leb	14	chashai	24	tanmcha	33	lebmle	111	camvihai	100;000	munkesh / mkesh	silver	(tio) ulep 	tu; silver mink; 10 dollars	(syn) ulezi	su; 5 dollars (silver ram)	(ro) ulgyu	ru; 2.5 dollars (silver pip)
aekkae	ekke	v	smack; hit hard enough to injure someone	4	unchanging-telic	-ts(o/u) (mental intent)	-cet		4	chas	15	qenmun	25	tanmqe/ camgyu 	44	chasmcha	120	camtanmhai / tanmunhai	493148	chasmkesh daecmlekesh camchasmki	gold	(tio) qoap	tq gold mink; 100 dollars	(syn) qozi	sq; 50 dollars (gold ram)	(ro) qogyu	rq; 25 dollars (gold pip)
aesiise	esɪsɛ	v	lower; dip; dunk	2	(RES.ATEL) or (CL3)     3	-vha (body movement)	-vh(i) 		5	qen	16	mudhai	26	tanmmu	55	qenmqae	200	tancam	1;000;000	keshka / shka	mythril	(tio) dkap	td mythril mink; 1000 dollars (biggest coin)	(syn) dkazi	sd; 500 dollars (mythril ram)	(ro) dkagyu	rd; 250 dollars (mythril pip)
aesiivh	esɪβ	v	sink; drown; go below; slip under; under(ground/water); set (as in sunset)	3	changing-atelic	-man (mental intent)	-non 		6	mud	17	teukhai	27	tanmteu	66	mudmmu	300	lebcam	5669328	qenshka mudmmumkesh daecmlecam tanmki							
aeuvvha	euββɑ	v	blaze; shine powerfully	3	(RES.TEL) or (CL4)       4	-kae (body movement)	-ak 		7	teuk	18	kvihai	28	tanmki	77	teukmte	365	lebcam mudmqe						Ajenvel (months of the year)			
akirse	ɑkiɾsɛ	v	prepare a boat or caravan (the whole process of it including veise - loading up)	1	changing-telic	-da (mental)	-ge		8	kvi	19	daecmun	29	tanmdae	88	kvimki	1;000	haicam / mcam	there's more than one way to write out numbers usually; especially with large numbers					January 	saejvel	sand	
anes	ɑnɛs	v	spend time doing something	1	con/A = concrete; abs/B = abstract				9	daec	20	tanmhai			99	daecmdi	1001	muncamvi	the base number after -m- drops the final consonant (not any of the tens numbers)					February	leqvel	harvest	
ang	ɑŋɡ	v	make; cause; build (similar to tykkae or -l- or vhenkae but used more often when compounding with other parts of speech or with CL1a.act verbs)	1	CL1A = IRRS.ATEL.CON; CL1B = IRRS.ATEL.ABS	CL1 often has intransitive verbs			10	hai / mun 							7478	teukmchacam teukmki						March	ashvel	red	
asic'en	ɑsiçʔɛn	v	to feel stress; pressure; unease	1	res = resultative; irrs = irresultative										100	hai'mun  / cam 	8;000	kvimcam						April	tikvel	mushroom	
aunvvha	aʊnβːɑ	v	to handle with finesse	3					-'iin	ordinal #'s														May	yonvel	movement	
aurilvh	aʊɾilβ	v	be delighted; become happy/joyful	3	uncausitive = agent/patient inversion																			June	ikhvel	ice	
aurim	aʊɾim	v	be delightful (it's pretty similar to aurivha; can also use copula + auri)	1	undative = agent/recipient inversion							Possible words					Names			City/place names in this language				July	gwiivel	snow	
aurivha	aʊɾiβɑ	v	delight; make happy/joyful	3	For passive verbs	base + l + class ending 											Sadikh	sadi-kh	?-pres.part; ?-ice	wrikan	town; village			August	gliinvel	snow melt	
aut'en	aʊtʔɛn	v	ramble		For undative verbs (flip roles of mp and recipient)	base + m + class ending 						aera					Maito	mai-to	heart of now	yau	city, pole			September	lenvel	rain	
auttsu	aʊtsːu	v	describe	2	over+verb (augmentive~ish)	base + b + class ending 						aho					Macito	maci-to	?- of now	teya	place suffixes often as -tya			October	bethvel	flower	
autyo	aʊtʲo	v	elaborate 	1	add+verb (2nd verb for mp) CL determines volition but not case on these   implies same TAM as 1st verb	base + g + class ending 	-usually in the neg					ajo					Ro'a	ro-'a	pebble-little	paq	country; nation; homeland			November	kilvel	greenery	
bala	bɑlɑ	v	push; propel	1	for odd cases where verb is both act and stt. 	base + class ending + toi	- auxillary particle not affix					alaiyth					Ser'a	ser-'a	elephant-little	kha	ground; earth; land			December	twnvel	sky	
balase 	bɑlɑsɛ	v	bump; push (esp to cause a chain reaction)	2													Eranna	era-nna		ten	river						
banttso	bɑntsːo	v	accuse; denounce; charge	2								aqpa								mba	river mouth			Kheskviliis (weekdays)			
bease	bɛɑsɛ; beɑsɛ	v	wrap; tuck; comfort (dialectally baease)	2	V. tests							aqyo		v	1		Ed(nna)		hawker	aiya	river head			Sunday	Yhavliis	creator	
